id,label,timeset,entity_type,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,eigencentrality,clustering
chasingaphrodit,chasingaphrodit,,user,2,4,6,2.0,6.0,8.0,6.0,0.30197368421052634,0.3230573710965864,458.5000000000001,9,0,372,0.0015277442581385216,0.36666667461395264
chc_classics,chc_classics,,user,3,4,7,3.0,6.0,9.0,1.0,1.0,1.0,1260.8076923076924,19,0,210,0.013415934423747014,0.095238097012043
chesterarchsoc,chesterarchsoc,,user,0,10,10,0.0,24.0,24.0,6.0,0.26485862665897286,0.29084967320261446,0.0,2,0,436,0.0,0.20000000298023224
chopin_slut,chopin_slut,,user,0,5,5,0.0,8.0,8.0,5.0,0.3479909021986353,0.37182280319535327,0.0,9,0,437,0.0,0.3499999940395355
chrismologos,chrismologos,,user,4,16,20,4.0,36.0,40.0,5.0,0.37205523964256704,0.40786026200873504,1414.8140948304026,9,0,311,0.007160072413888306,0.20261438190937042
classicslib,classicslib,,user,3,17,20,3.0,44.0,47.0,5.0,0.3708502024291498,0.4067685589519668,485.2271689697862,9,0,311,0.03235999169288761,0.21345029771327972
classicsncl,classicsncl,,user,5,0,5,7.0,0.0,7.0,0.0,0.0,0.0,0.0,19,0,256,0.008011508015557759,0.25
classicsprof,classicsprof,,user,9,0,9,18.0,0.0,18.0,0.0,0.0,0.0,0.0,9,0,222,0.07917956775503093,0.4027777910232544
classicsrhul,classicsrhul,,user,2,3,5,2.0,4.0,6.0,7.0,0.24387646432374868,0.2576627157413188,0.2,19,0,311,0.013425748465352098,0.3499999940395355
clasuronjournal,clasuronjournal,,user,0,3,3,0.0,4.0,4.0,6.0,0.3321273516642547,0.35334059549745866,0.0,21,0,438,0.0,0.6666666865348816
clementslorene,clementslorene,,user,0,10,10,0.0,18.0,18.0,7.0,0.23846153846153847,0.25729646697388703,0.0,6,0,445,0.0,0.10000000149011612
clodiuspulcher,clodiuspulcher,,user,0,2,2,0.0,2.0,2.0,7.0,0.2714370195150798,0.28585952899678374,0.0,9,0,446,0.0,0.5
cloudwanderer3,cloudwanderer3,,user,0,2,2,0.0,2.0,2.0,6.0,0.3280914939242316,0.347785039941903,0.0,9,0,447,0.0,0.5
cmillerd,cmillerd,,user,0,5,5,0.0,8.0,8.0,5.0,0.35664335664335667,0.3812636165577355,0.0,9,0,448,0.0,0.44999998807907104
cmschroed,cmschroed,,user,0,2,2,0.0,2.0,2.0,7.0,0.21569548872180452,0.22550057059861106,0.0,20,0,449,0.0,0.5
cneness,cneness,,user,0,5,5,0.0,8.0,8.0,6.0,0.25656791503633314,0.2752723311546843,0.0,2,0,450,0.0,0.4000000059604645
cnrs_squeezes,cnrs_squeezes,,user,2,8,10,9.0,14.0,23.0,6.0,0.3209530483531885,0.34366812227074256,2322.0,21,0,311,0.00979750356995578,0.20000000298023224
colbornelodgeto,colbornelodgeto,,user,0,2,2,0.0,2.0,2.0,7.0,0.22184630256162396,0.23166822284469452,0.0,16,0,451,0.0,0.5
complextom,complextom,,user,0,2,2,0.0,2.0,2.0,7.0,0.21569548872180452,0.22550057059861106,0.0,20,0,452,0.0,0.5
conchitamou,conchitamou,,user,0,2,2,0.0,2.0,2.0,7.0,0.21569548872180452,0.22550057059861106,0.0,20,0,453,0.0,0.5
connor_shank,connor_shank,,user,0,2,2,0.0,2.0,2.0,6.0,0.2840346534653465,0.3008714596949889,0.0,9,0,454,0.0,0.5
conorwhately,conorwhately,,user,2,9,11,2.0,18.0,20.0,5.0,0.3760262725779967,0.40389374090247615,1368.1666666666667,9,0,311,0.001758993849072191,0.4000000059604645
corneliagracchi,corneliagracchi,,user,0,12,12,0.0,28.0,28.0,6.0,0.3422818791946309,0.37374727668845426,0.0,6,0,455,0.0,0.31060606241226196
ctsfmf,ctsfmf,,user,9,3,12,12.0,8.0,20.0,6.0,0.29491307147456536,0.31084425036390034,814.9237247625474,7,0,311,0.04056653876299821,0.23636363446712494
cucdbulletin,cucdbulletin,,user,0,3,3,0.0,4.0,4.0,6.0,0.3,0.31728395061728354,0.0,8,0,456,0.0,0.6666666865348816
cupacademic,cupacademic,,user,2,0,2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,9,0,304,0.013992124092248167,0.5
cyathens,cyathens,,user,6,0,6,35.0,0.0,35.0,0.0,0.0,0.0,0.0,2,0,225,0.027035636077181804,0.13333334028720856
danamlmurray,danamlmurray,,user,0,2,2,0.0,2.0,2.0,6.0,0.26577880718008107,0.278395061728395,0.0,9,0,457,0.0,0.5
